block_signed_at,tokens_traded_usdt
2020-09-15,224852185.3
2020-09-16,132606649.1
2020-09-17,146308022.2
2020-09-18,89676326.76
2020-09-19,382132607
2020-09-20,277127586.7
2020-09-21,198089729.4
2020-09-22,75427544.39
2020-09-23,98308369.27
2020-09-24,106049356.1
2020-09-25,134440348.2
2020-09-26,87862401.89
2020-09-27,53115758.29
2020-09-28,104346306.1
2020-09-29,73711384.48
2020-09-30,55270678.42
2020-10-01,46168081.55
2020-10-02,50836891.73
2020-10-03,33973554.71
2020-10-04,27845269.75
2020-10-05,39865313.2
2020-10-06,47825871.84
2020-10-07,46121807.07
2020-10-08,33261316.16
2020-10-09,61672935.89
2020-10-10,80287476.6
2020-10-11,65803697.94
2020-10-12,17950202.87
2020-10-13,30977432.89
2020-10-14,27022939.13
2020-10-15,104467043.1
2020-10-16,31914743.32
2020-10-17,36811159.41
2020-10-18,10944122.97
2020-10-19,45985766.41
2020-10-20,18852691.86
2020-10-21,52515576.05
2020-10-22,102638179.3
2020-10-23,61084636.23
2020-10-24,19753761.25
2020-10-25,20352165.15
2020-10-26,5511916965
2020-10-27,104875538.1
2020-10-28,75959484.68
2020-10-29,37312448
2020-10-30,7615062.021
2020-10-31,10044694.41
2020-11-01,27530736.71
2020-11-02,17944447.12
2020-11-03,28786998.26
2020-11-04,16697848.67
2020-11-05,35861125.22
2020-11-06,29830760.51
2020-11-07,35858250.28
2020-11-08,10691086.87
2020-11-09,26419104.59
2020-11-10,24195353.59
2020-11-11,22804766.39
2020-11-12,21517163.97
2020-11-13,29716491.17
2020-11-14,28091695.49
2020-11-15,12974927.64
